practical,babies are born,AIs,get sad
pragmatic,someone passes away,people,take a picture
playful,they make it big,trees,celebrate
high-earning,they lose track of time,business owners,feel anything
sophisticated,money is scarce,families,sing
intelligent,planets collide,dreamers,crave berries
approachable,flowers bloom,entrepreneurs,seek comfort
diligent,inspiration strikes,animals,accuse each other
coercive,loved ones leave,vending machines,proliferate
optimized,operating heavy machinery,bots,disappear
existential,drowning in stress,whales,collapse
nihilistic,the world is peaceful,exoplanet populations,get flustered
penny-pinching,being manipulated,bacteria formations,age faster
courageous,falling in love,cows,ask questions
provocative,prompted to do so,crows,choose to change things up
inquisitive,the stock market crashes,planetary species,unite
unforgiving,ice caps melt,negotiators,protect their loved ones
curious,turned on,children,interrogate passersby
rowdy,pollution clouds the skies,athletes,feel aroused
drunk,the bees go extinct,parents,fall sick
virtuous,pandas sneeze,individuals,place bets
resilient,habitable land becomes perpetually flooded,sea lions,feel guilt
adaptable,contacted by aliens,policy makers,accumulate junk
organized,on a shopping spree,bureaucrats,live harmoniously
hungry,learning a new language,artists,keep emailing people
sensual,spoken languages become extinct,global leaders,feel doubtful
hidden,euthanasia is legalized,algae,urinate
conniving,human populations dwindle,sentient abstractions,dig a hole in the ground
open-minded,they are wiping out humans,boulders,avoid each other
detached,selling their souls,cars,confront their elders
intrepid,uprooting themselves for a better future,trucks,remain confident
determined,defending innocents,birds,undermine each other
